category,test_name,canonical_name,age_min,age_max,time_value,time_unit,lower,upper,sex,unit,method,sample_type,condition,reference_text,notes
Hemograma,BASÓFILOS (%) / BASOPHILS (%),basophils_percent,1,150,,Years,0.0,1.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,BASÓFILOS (10^3/uL) / BASOPHILS (10^3/uL),basophils_absolute,1,150,,Years,0.0,0.2,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,CONCENTRACIÓN DE LA HEMOGLOBINA CORPUSCULAR MEDIA / Mean Corpuscular Hemoglobin Concentration (MCHC),mchc,18,,,Years,31.0,37.0,M/F,g/dL,SYSMEX XN-1000,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,EOSINÓFILOS (%) / EOSINOPHILS (%),eosinophils_percent,1,,,Years,0.0,3.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,EOSINÓFILOS (10^3/uL) / EOSINOPHILS (10^3/uL),eosinophils_absolute,1,150,,Years,0.0,0.7,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMATÍES / Red Blood Cell Count (RBC) / ERYTHROCYTES,rbc,18,,,Years,4.5,5.5,M,10^6/uL,SYSMEX XN-1000,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMATÍES / Red Blood Cell Count (RBC) / ERYTHROCYTES,rbc,18,,,Years,4.0,4.9,F,10^6/uL,SYSMEX XN-1000,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMATOCRITO / HEMATOCRIT,hematocrit,18,,,Years,41.0,53.0,M,%,SYSMEX XN-1000 / ALTURA DE PULSO ACUMULADO,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMATOCRITO / HEMATOCRIT,hematocrit,18,,,Years,36.0,46.0,F,%,SYSMEX XN-1000 / ALTURA DE PULSO ACUMULADO,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMOGLOBINA / HEMOGLOBIN,hemoglobin,18,,,Years,13.5,17.5,M,g/dL,SYSMEX XT 1000 / SLS,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMOGLOBINA / HEMOGLOBIN,hemoglobin,18,,,Years,12.0,16.0,F,g/dL,SYSMEX XT 1000 / SLS,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,HEMOGLOBINA CORPUSCULAR MEDIA / Mean Corpuscular Hemoglobin (MCH),mch,18,,,Years,26.0,34.0,M/F,pg,SYSMEX XT-1000,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,LEUCOCITOS TOTALES / White Blood Cell Count (WBC) / TOTAL LEUKOCYTES,wbc,18,,,Years,4.5,11.0,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,LINFOCITOS (%) / LYMPHOCYTES (%),lymphocytes_percent,18,,,Years,24.0,44.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,LINFOCITOS absolutos (10^3/uL) / Absolute LYMPHOCYTES (10^3/uL),lymphocytes_absolute,17,,,Years,1.0,4.8,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,MONOCITOS (%) / MONOCYTES (%),monocytes_percent,1,,,Years,3.0,6.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,MONOCITOS absolutos (10^3/uL) / Absolute MONOCYTES (10^3/uL),monocytes_absolute,0,,,All ages,0.0,0.9,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,Metamielocitos (%) / Metamyelocyte (%),metamyelocytes_percent,0,150,,Years,0.0,0.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,Metamielocitos (10^3/uL) / Metamyelocyte (10^3/uL),metamyelocytes_absolute,0,150,,Years,0.0,0.0,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,Mielocitos (%) / Myelocyte (%),myelocytes_percent,0,150,,Years,0.0,0.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,Mielocitos absolutos (10^3/uL) / Myelocyte absolute (10^3/uL),myelocytes_absolute,0,150,,Years,0.0,0.0,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,NEUTRÓFILOS ABASTONADOS (%) / BANDS %,bands_percent,13,,,Years,0.0,5.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,NEUTRÓFILOS ABASTONADOS absolutos (10^3/uL) / Absolute BANDS (10^3/uL),bands_absolute,13,,,Years,0.0,0.5,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,NEUTRÓFILOS SEGMENTADOS (%) / SEGMENTED NEUTROPHILS (%),segmented_neutrophils_percent,18,,,Years,35.0,66.0,M/F,%,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,NEUTRÓFILOS SEGMENTADOS absolutos (10^3/uL) / SEGMENTED NEUTROPHILS absolute (10^3/uL),segmented_neutrophils_absolute,18,,,Years,1.8,7.7,M/F,10^3/uL,SYSMEX XN-1000 CITOMETRÍA FLUJO FLUORESCENTE / Fluorescent flow cytometry,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,NEUTRÓFILOS TOTALES (ANC) (10^3/uL) / TOTAL NEUTROPHILS (10^3/uL),anc,18,,,Years,1.8,8.2,M/F,10^3/uL,SYSMEX XN-1000,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,"PLAQUETAS, recuento / PLATELETS COUNT",platelets,18,,,Years,150.0,350.0,M/F,10^3/uL,SYSMEX XT-1000 / CD-EH,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,VOLUMEN CORPUSCULAR MEDIO / Mean Corpuscular Volume (VCM/MCV),mcv,18,,,Years,80.0,100.0,M/F,fL,CÁLCULO,SANGRE TOTAL / TOTAL BLOOD,,,
Hemograma,MPV (VOLUMEN PLAQUETARIO MEDIO) / Mean Platelet Volume (MPV),mpv,,,,Both,7.5,11.5,M/F,fL,CÁLCULO-SYSMEX XT-1000,SANGRE TOTAL / TOTAL BLOOD,,,
Microbiologia,COLOR / COLOR,urine_color,,,,,,,,,Organoléptica / Organoleptic,ORINA / URINE,,AMARILLO / YELLOW,
Microbiologia,ASPECTO / CLARITY,urine_clarity,,,,,,,,,Organoléptica / Organoleptic,ORINA / URINE,,TRANSPARENTE / TRANSPARENT,
Microbiologia,DENSIDAD / SPECIFIC GRAVITY,urine_specific_gravity,,,,,1.01,1.035,,,Lectura Automatizada / Automatic reader,ORINA / URINE,,,
Microbiologia,pH / pH,urine_ph,,,,,5.0,6.0,,,Lectura Automatizada / Automatic reader,ORINA / URINE,,,
Microbiologia,PROTEÍNAS / PROTEINS,urine_protein,,,,,0,10,,mg/dL,Lectura Automatizada / Automatic reader,ORINA / URINE,,,Trazas o huellas se consideran dentro del valor referencial / Traces are considered within the reference value.
Microbiologia,GLUCOSA / GLUCOSE,urine_glucose,,,,,,,,,Lectura Automatizada / Automatic reader,ORINA / URINE,,NA,Stored exactly as shown in the supplied reference table; no interpretation of NA was assumed.
Microbiologia,CUERPOS CETÓNICOS / KETONE BODIES,urine_ketones,,,,,0,5,,mg/dL,Lectura Automatizada / Automatic reader,ORINA / URINE,,,
Microbiologia,BILIRRUBINA / BILIRUBIN,urine_bilirubin,,,,,,,,,Lectura Automatizada / Automatic reader,ORINA / URINE,,NA,Stored exactly as shown in the supplied reference table; no interpretation of NA was assumed.
Microbiologia,UROBILINÓGENO / URIBILINOGEN,urine_urobilinogen,,,,,0,1,,mg/dL,Lectura Automatizada / Automatic reader,ORINA / URINE,,,Trazas o huellas se consideran dentro del valor referencial / Traces are considered within the reference value.
